"gene","cope"
"ADAT3",-0.15619398096776
"CASP10",-0.15619398096776
"LPAR5",-0.15619398096776
"PDZK1",-0.15619398096776
"PLD4",-0.15619398096776
"PTHLH",-0.15619398096776
"SERINC4",-0.15619398096776
"SLC25A34",-0.156100921048855
"PLXDC2",-0.15593951402534
"SMTN",-0.154904574698428
"CXCL14",-0.152916876920398
"FMN1",-0.152736835899738
"CPED1",-0.151596888890336
"HRC",-0.151585405582446
"CPXM2",-0.151573924883707
"ADAMTS14",-0.151562446793131
"TM4SF1",-0.151550971309731
"CD36",-0.150903451544403
"SPIN3",-0.15015826228278
"PTH1R",-0.149786457481091
"CYP26A1",-0.149505575788776
"NHS",-0.148836824211928
"PODN",-0.148278577499412
"ZNF284",-0.148140261222072
"TRIM7",-0.147441460123444
"CXCL12",-0.146930219650663
"LGR5",-0.145281516066262
"FBXW12",-0.144932513793763
"SP140",-0.144179742127335
"C4orf19",-0.144096202617437
"HCN3",-0.14400182890332
"BTBD3",-0.144000018458584
"WNT11",-0.143680378245781
"STAR",-0.143257326058431
"COL3A1",-0.143238939698083
"CYBB",-0.143238939698083
"F2RL1",-0.143238939698083
"SYCE3",-0.143099759405063
"IRF5",-0.143088264986843
"SCN7A",-0.142753439498449
"SYTL1",-0.142199658263094
"HSPB8",-0.141583152042847
"ACSL6",-0.141257674057186
"CD163",-0.141210524807718
"ENPP3",-0.141202057679855
"TBX15",-0.141202057679855
"ADAMTS17",-0.140975280647526
"WNT3",-0.14014288340702
"GLDN",-0.139563839372706
"PLB1",-0.137448861491865
"ZNF45",-0.137391031327432
"AMIGO2",-0.13724915165988
"LGI2",-0.136496787890282
"AMPD3",-0.135636919198172
"VGLL3",-0.135546877501805
"CEMP1",-0.135293929076639
"COL4A3",-0.135235521013013
"EXOC3L1",-0.135235521013013
"PPM1N",-0.135235521013013
"LIPA",-0.13491131478795
"PCED1B",-0.134858225246234
"NR2F1",-0.134615384615385
"COL8A2",-0.134553237537854
"MATN3",-0.134541675498087
"RHCG",-0.134530116438355
"NPY2R",-0.134046107971599
"EGFLAM",-0.134030957238804
"HEMGN",-0.134030957238804
"NR2E3",-0.134030957238804
"PRPH",-0.133907316622201
"CNTN2",-0.133794828554726
"AFAP1L2",-0.133398620131308
"SLN",-0.132542959501228
"TF",-0.132331287780979
"SERPINI2",-0.132153966036738
"CMPK2",-0.130426234746852
"DTNA",-0.130126388306242
"ZNF398",-0.129314367162366
"OR51E2",-0.129313763857498
"CARTPT",-0.129038905807698
"ACRV1",-0.129015356413249
"MYBPC1",-0.129015356413249
"SLC22A3",-0.129015356413249
"ZNF774",-0.128456993475059
"TFAP2A",-0.128139578982697
"ARTN",-0.127838776161492
"LTC4S",-0.127637166875209
"GCNT1",-0.127333650028685
"ABI3BP",-0.127323999790177
"HIRA",-0.127290756305578
"NEU4",-0.126002825519039
"EXD1",-0.125895825526215
"CCDC141",-0.125872444371676
"ADAP2",-0.125423790723007
"BLOC1S3",-0.125205791324151
"ZGPAT",-0.125059419459444
"CHRNA7",-0.124925182582427
"MX2",-0.123443470439143
"ROR2",-0.123427181797462
"PDGFB",-0.123168774332993
"ADAM20",-0.122869429929983
"BIN1",-0.122577053651592
"AP1G2",-0.122562086622577
"ITGA8",-0.122450158747862
"FSD2",-0.122421138683762
"MSR1",-0.122421138683762
"NOS1",-0.122421138683762
"PRKCH",-0.122421138683762
"TLR10",-0.122421138683762
"SERTAD4",-0.122343716298489
"CSGALNACT1",-0.122075757289852
"ARSB",-0.121626876945393
"NR2F2",-0.121279613743217
"PTPRN2",-0.120957538491868
"SNCG",-0.120735874543965
"IL34",-0.120250896686057
"DNAH9",-0.119990737183719
"NR6A1",-0.119832911946128
"TUB",-0.119068626113591
"NMRK1",-0.118698646215156
"A4GALT",-0.117572891178302
"ALOX5",-0.117548660169661
"SGCD",-0.117138158252907
"GIPC2",-0.117066487036751
"DAW1",-0.117054589431452
"EGFL6",-0.117054589431452
"PAMR1",-0.117054589431452
"WNT5A",-0.115929139941584
"LAMA2",-0.115848521319247
"PFKFB3",-0.115268381188296
"KMO",-0.113910193791209
"EREG",-0.113868613138686
"PRELP",-0.113868613138686
"EXPH5",-0.11308101411444
"ZNF709",-0.112329254849409
"SUFU",-0.11172878636665
"SLC17A9",-0.111697953310602
"GPR83",-0.11168188744165
"CNNM4",-0.111463397888392
"TNS3",-0.111014990137431
"TLR6",-0.110297834501983
"TRPM2",-0.110290895108641
"SLC38A11",-0.11028129189454
"CYTL1",-0.110264756728109
"GJB7",-0.110264756728109
"HSPB3",-0.110264756728109
"KIAA0040",-0.110264756728109
"SPINK5",-0.110264756728109
"HARBI1",-0.109766355279034
"ZSWIM3",-0.109550304588356
"STAC",-0.108791285404389
"WIF1",-0.108475763780986
"GRM6",-0.108024081109614
"RBM47",-0.108024081109614
"TMEM35A",-0.108023955005738
"CASP8",-0.108011871549687
"CCDC38",-0.108011871549687
"CFTR",-0.108011871549687
"SLC35F4",-0.106972002578436
"PLCXD2",-0.105900839467961
"IGF1",-0.105785488932065
