"gene","cope"
"PLA2G4F",-0.0119914893560522
"HAO2",-0.0119583068824369
"NLRP10",-0.0119421238134511
"LRIT2",-0.0117597938358729
"MS4A14",-0.0117597924793358
"CYP2B6",-0.011665514263327
"CASR",-0.011665512489391
"HOXA2",-0.0115707883753206
"OSR2",-0.0115133802146677
"TARM1",-0.0114942152479865
"CD3G",-0.0113458809291413
"C20orf173",-0.0112934613430052
"FMOD",-0.01120787936594
"SERPINB12",-0.011203220102565
"AQP9",-0.0110780446342942
"DUXA",-0.0110780431990465
"CRYBA4",-0.0110516810330762
"CCL8",-0.0110516775039841
"LDHAL6B",-0.0108807543955813
"RFPL4B",-0.0108549438586234
"CLCA2",-0.0108323658229536
"PRF1",-0.01081885395582
"AGR3",-0.0108188534289156
"TRIML2",-0.0108188534289156
"FFAR2",-0.0108188513843973
"ABRA",-0.01081885129658
"SLC2A2",-0.0107743042081761
"CCR7",-0.0106283270083512
"HOXB7",-0.0106087184080361
"CST6",-0.0106087116760835
"EPYC",-0.0106066087944946
"IL10",-0.0106066048488867
"MROH9",-0.0106066048488867
"CSN1S1",-0.0105581270531219
"ADAMTS19",-0.0104940490110043
"DRGX",-0.010369322852155
"SLC22A16",-0.0103245954307531
"ETV3L",-0.0102305435538554
"TMEM30B",-0.0101285593342291
"ADRA2B",-0.0100845932525685
"PADI1",-0.0100845900949631
"TMEM72",-0.00991497551121322
"PGLYRP1",-0.00990507022163442
"SLC6A18",-0.00973009480302721
"ZP2",-0.00969022828132188
"ADGRG4",-0.00959790980323069
"MYOM3",-0.00957797436745104
"SOST",-0.00947319471040492
"ART4",-0.0094356619175489
"ZSCAN4",-0.00937334507229864
"SIGLEC10",-0.00937021949125256
"C2orf78",-0.00936555336202436
"TM4SF5",-0.00936555319928562
"REN",-0.00936555012096734
"TBC1D21",-0.00935776909210747
"LILRA5",-0.00935776888421363
"CPA5",-0.00932968975375404
"HTR3C",-0.00915507345755036
"SERPINB13",-0.00914365066315429
"OR11A1",-0.00913225295272719
"BNC1",-0.00912845969170436
"SMIM6",-0.00908904741965346
"HMGB4",-0.00901363704892166
"ITLN1",-0.00901363657101924
"PSG6",-0.00890842622223674
"SYCE1",-0.00890572053653625
"EYS",-0.00890034067575968
"MUC5AC",-0.00886846597298413
"LMOD2",-0.00881893861494151
"CLCA4",-0.008736215567753
"SMCO3",-0.008736215567753
"CSF3",-0.00869843097640336
"ADAD1",-0.00866723052686313
"CCL20",-0.00865643446542657
"SLC22A11",-0.0086564331389868
"PRSS55",-0.00862366499664699
"PRPS1L1",-0.00861237146204187
"UGT3A2",-0.00855311643747326
"AMPD1",-0.00855311474188179
"IFNB1",-0.00853891005708936
"CYP4F22",-0.00853890947338544
"RAB44",-0.00852559113049941
"IL17F",-0.00852558565979786
"SPINK4",-0.00849462139651158
"PADI3",-0.00849462094612743
"VSX2",-0.00841954079122825
"ADGRE3",-0.00834352350425096
"OTC",-0.00834352032286423
"FRG2C",-0.00826065588776964
"ANXA10",-0.00824594814569439
"KRT7",-0.00824594814569439
"ANKRD60",-0.00820905177906437
"FMO3",-0.00816476519917389
"ELF5",-0.00815798687983793
"SELE",-0.00815798594345348
"CPN1",-0.00812888305621823
"TMEM40",-0.00812888127805316
"UCMA",-0.008009491822353
"CFHR3",-0.00800948988613762
"MMP9",-0.00800948794992364
"APOBEC3H",-0.00794270261128908
"ELSPBP1",-0.00790879024637633
"CCL17",-0.0079022260882881
"CXCR6",-0.0079022235422858
"MS4A1",-0.0078956642413053
"PSG9",-0.00783018169893069
"FCRL5",-0.00780744313090748
"BARX1",-0.00779162064620248
"GZMB",-0.00763110749797999
"PLA2G2A",-0.00763110749797999
"NCR1",-0.00762794212053652
"CCDC172",-0.0076279412449913
