"nhoods1","nhoods2","sim"
"231528","124430",0.821671756211453
"23267","168285",0.746278000162591
"232759","122858",0.744657160720428
"235464","14946",0.768339965434847
"23596","96394",0.806261203814717
"237047","104150",0.700031047435448
"237443","67774",0.752155227815074
"23772","82828",0.730744202612565
"237827","131818",0.781654261429297
"238795","57986",0.765868641428506
"241311","172843",0.736303868137998
"24215","18489",0.764809198151419
"242467","54863",0.825546809179796
"242715","140905",0.744223958525275
"243348","24846",0.700471576732488
"243461","128886",0.735973593741956
"244068","13645",0.700087251573827
"244123","116879",0.782287788239394
"246646","75157",0.70389920926199
"246940","89841",0.796579111349893
"24714","124279",0.766607187182097
"247251","174968",0.74164228389266
"24842","120065",0.73653964032162
"248824","153863",0.755348996326926
"250654","163330",0.730468536441428
"25357","169151",0.721881808251661
"25375","5711",0.729363120717409
"256232","50474",0.692078285566347
"256365","96469",0.759259623039079
"25656","161461",0.721383582515639
"257589","109356",0.781427066294286
"25804","151871",0.784775723402205
"258114","46270",0.798605384893496
"258570","136896",0.712203805345278
"259884","75403",0.739281618227505
"261685","95872",0.792849031705159
"261704","116429",0.774151410064053
"263300","119562",0.74070045006437
"264521","122643",0.738173129055905
"264668","41084",0.721987202170787
"265044","86848",0.757548661284807
"26525","100892",0.820272729004131
"268818","93576",0.756732861855539
"268853","18271",0.767469798954122
"26930","84614",0.787305819639893
"26996","150146",0.760824609984018
"270549","50082",0.832568418741282
"270978","146764",0.696862520174391
"271062","146285",0.725320822372069
"271205","17330",0.802511766081269
"271317","11185",0.80785692400662
"27169","164310",0.706155235289127
"272571","6392",0.771639552104046
"27457","15167",0.740932138120936
"27711","122733",0.802862245123611
"277183","115816",0.74392916157698
"277923","3491",0.762221838794875
"279239","110092",0.763245620463331
"27946","69886",0.7460353540453
"27998","75270",0.789836604923477
"28135","79024",0.740871494969109
"28162","125562",0.783904874930359
"283983","115276",0.743365408904905
"285269","130510",0.727309011596225
"286414","164307",0.738548962976792
"287845","89531",0.845730632667717
"288075","63448",0.838986913124042
"288687","1026",0.749215960684472
"28880","147297",0.741183508750124
"28926","126259",0.777627326362138
"289441","167610",0.731754655214635
"290184","30092",0.756204867373282
"290871","112627",0.811807257740248
"291265","110753",0.710328477813496
"291538","113077",0.799822611351816
"291643","67315",0.75617701053586
"292884","107902",0.76913961767231
"294576","58135",0.676769533610486
"29504","172015",0.699756272002089
"296854","21961",0.760740007061267
"29781","74217",0.724637106542853
"299027","8939",0.848140491396229
"29983","61731",0.762517050710801
"300131","27071",0.748693025025941
"300755","5420",0.79177827229805
"301267","40566",0.795400340669108
"301513","113253",0.836268031432012
"301660","73666",0.764822435446418
"303381","130255",0.737671895605491
"304862","22071",0.742769666312024
"30515","54780",0.819111932468403
"305443","132489",0.752705804616206
"30596","67434",0.732226139588814
"306693","138700",0.694737719388563
"30702","107625",0.744554486485385
"307989","154340",0.691131526816908
"309585","55190",0.753729569737437
"30964","50387",0.787791978886504
"309961","77003",0.780948848165604
"310156","70374",0.752987900737048
"31059","11523",0.777065822958158
"31198","73527",0.774794995305028
"312438","103760",0.81330924927719
"312697","169332",0.714274145075373
"314073","95561",0.809102512787531
"31560","62624",0.764069632831347
"318070","53392",0.822149986510235
"31828","20887",0.791683454055172
"318424","29171",0.806399009772479
"31949","154471",0.719277347984613
"319537","24918",0.774237490927061
"320709","45290",0.727071948641603
"320893","92237",0.79204567844858
"32120","113410",0.766495391771479
"32155","85103",0.789408084773456
"321610","56286",0.736946057606811
"322401","109194",0.814300617612922
"324653","38640",0.81668147524743
"324792","108707",0.780769869550789
"325145","29214",0.80816163738331
"32587","67821",0.70934605237367
"32597","4679",0.765441439125702
"326942","150194",0.734064447635565
"326961","91105",0.781989550707923
"327446","104176",0.772194191475009
"327681","167484",0.72303885408056
"328071","75826",0.745674507715008
"33110","63279",0.786430035810057
"33280","169320",0.716111481777827
"333215","124410",0.742407954012867
"334803","65106",0.782967764926325
"334837","80866",0.721422959940785
"335525","40477",0.711476679023415
"336576","75376",0.730165394706266
"33709","94329",0.792835044300586
"337493","62617",0.765328087643293
"338324","69091",0.67743610564822
"338900","30482",0.800350372461024
"338902","70331",0.659307684287943
"339125","25598",0.675023346693219
"33915","67133",0.697158673501122
"340448","31773",0.789139303057449
"34331","80838",0.720649439288005
"344333","77814",0.793517053791649
"344711","18311",0.773925646647401
"34579","130591",0.703375517316476
"346403","162839",0.65841513983379
"346650","22077",0.771418731114215
"347343","48625",0.841167605466656
"347579","169675",0.740449577693626
"348171","2986",0.741200931138673
"34848","46097",0.687629659383294
"34965","30616",0.749064547268662
"349870","164932",0.687345312898567
"35014","134524",0.780337953379694
"350473","126204",0.801306685982136
"351429","79332",0.748000864793534
"351591","51176",0.833198568375399
"351817","127609",0.731774435984955
"353323","14992",0.815263461480645
"35345","70162",0.740155716692442
"354061","129857",0.741269938061965
"354797","17553",0.718904086996003
"354859","27093",0.739443221629696
"354990","140289",0.736230500539469
"356499","141406",0.742585154869762
"356557","104954",0.738751124308878
"35680","23108",0.721625777227173
"357001","94174",0.761888418561459
"357277","173487",0.710403259841805
"35733","43563",0.756780394896384
"357605","108228",0.756483497858241
"35843","127213",0.803672553405141
"358624","56049",0.78247385084431
"359019","148711",0.73264786704474
"360805","134641",0.758921158724983
"362461","168264",0.731662335301439
"362860","168367",0.764147071031053
"363724","135809",0.805151277421949
"364274","108601",0.763353851226873
"364393","116698",0.744168386328658
"364908","39667",0.754403182235181
"36505","2186",0.767671909694719
"365842","114782",0.789503732507623
"365958","12666",0.753169134177145
"366365","93175",0.74761364968714
"367102","29482",0.748638552949658
"367215","64446",0.811087604995863
"367692","83301",0.798448032377647
"36840","62386",0.816617015433395
"370871","168941",0.704677840981832
"371081","108415",0.754627649522384
"371085","51315",0.831586546114415
"371419","91557",0.811087705403304
"371448","52970",0.843462420309266
"371773","89382",0.792809845940174
"371942","139500",0.711785743341863
"372816","156998",0.69417468836532
"372830","40572",0.787938892536999
"372846","109369",0.781438032538064
"37359","155839",0.735172044625906
"373676","39636",0.785403792996791
"374335","146021",0.775876110952652
"374356","98978",0.753249978072822
"375191","169834",0.718660733525691
"375355","108654",0.758012045073005
"375674","18609",0.810200633848023
"375839","135920",0.821073788470558
"376235","76467",0.76969984632815
"376249","156910",0.756063308225206
"376772","145934",0.765530045195541
"377705","152557",0.680661270681158
"378715","49677",0.813239285798036
"379477","50708",0.700197066432697
"379910","10136",0.790767764914728
"381041","109100",0.759685335948695
"381931","133436",0.787085345756841
"382506","117590",0.76139001085241
"382578","147986",0.742475707107368
"382927","93062",0.791079406388523
"38310","136034",0.784873422112627
"38454","57257",0.711043809693373
"384848","127510",0.767371704609288
"384858","54347",0.820424635874993
"385174","49073",0.778539242538781
"385478","62536",0.813401459127361
"385587","20901",0.832227921681402
"385668","51330",0.802087661814372
"386653","64355",0.813418117729308
"386722","92928",0.793202038449334
"387290","17856",0.80230614865127
"387386","153454",0.757964718735311
"387689","167674",0.738876566067252
"38944","70695",0.713938316153882
"389512","49619",0.804066521021747
"389862","52214",0.818787886627421
"390081","62959",0.810201053868828
"391719","33982",0.765678212078251
"391857","129533",0.739814081449826
"39192","173324",0.765139185867527
"39327","146215",0.760933044659611
"394149","78710",0.781048066008205
"394556","140117",0.718048242234529
"394609","122860",0.781966208740045
"395057","63032",0.797798603667201
"395382","152264",0.678630343066179
"395453","27835",0.747403569664069
"395616","143982",0.729097223327916
"395677","79337",0.733348039565097
"39608","78418",0.703489742989647
"396695","170120",0.735890634808193
"397165","76161",0.748922967359154
"397827","159206",0.733262543616921
"398078","21123",0.803032202512585
"39838","43539",0.749187631255006
"398583","50237",0.802382110005368
"398676","97864",0.746234629110035
"398735","73271",0.726178253182111
"399056","151971",0.740227010959726
"399302","82708",0.689603546291263
"399935","19584",0.834445818280368
"400379","94779",0.752199428091188
"400559","162217",0.740744710962824
"400701","63170",0.779259532000726
"401139","158986",0.714606018007935
"40144","1245",0.758656805575338
"40325","136138",0.775129382703604
"40492","78454",0.822868648481974
"405050","20130",0.825949193163856
"405383","19328",0.805719535282445
"4058","90496",0.764700310023771
"406551","90225",0.756477030357081
"406920","154843",0.711038037786349
"40698","10049",0.781907393151566
"407477","117306",0.771959625244658
"407505","103111",0.777994781245139
"407908","135789",0.75146572264453
"409571","37975",0.71051080331461
"41275","109909",0.717302035452821
"41297","120508",0.708640779647355
"4137","90973",0.779567617328394
"4146","133923",0.830530083368717
"41556","109664",0.755403530102665
"41565","157233",0.739096933511632
"4190","51399",0.831753109520375
"42286","82783",0.762060778942899
"422977","4999",0.745520641027211
"42299","141207",0.70517903666983
"42340","57036",0.664246820193305
"42659","77501",0.815692608166929
"42749","115310",0.768908658571726
"42819","64657",0.762738178231423
"43014","66006",0.779165605303716
"43040","56492",0.712946019819585
"43164","23532",0.681034885726815
"432480","83880",0.719633374277622
"43450","129038",0.673688138001468
"43454","63855",0.774957220844859
"43618","9283",0.747198112716217
"43982","130207",0.713133208689691
