"gene","cope"
"ZNF10",-0.0246287711252805
"GKN2",-0.0245353033660426
"MOGAT3",-0.0245068493936221
"NUTM1",-0.0245068376709222
"GPR171",-0.0244436692847544
"AK6",-0.0244365979251541
"ZNF568",-0.0238094201267868
"TOX4",-0.0237276535871876
"ZNF728",-0.0234349432275003
"LY9",-0.0233986377909206
"GPIHBP1",-0.0233434604649046
"C8B",-0.0233323258317919
"CLCA2",-0.0232432791767159
"MMP26",-0.0229367420250583
"WDR26",-0.0228980282904776
"FOXD2",-0.0228911866182488
"TYRP1",-0.0227535282645836
"NUP93",-0.0226957617036396
"IRX6",-0.0223898835888656
"PSMA8",-0.0223709612389793
"ADIPOQ",-0.0222775744192738
"BIN2",-0.0221526071868023
"CPA3",-0.0221210389763183
"IL1A",-0.0220642988052332
"TMEM45B",-0.0220357927657958
"ABRA",-0.0219000173946816
"USP50",-0.0218456648585123
"ZNF558",-0.0218373946530638
"CFHR5",-0.0216125177749138
"GLP2R",-0.0215998796047921
"IL2RG",-0.0214336566752716
"PGLYRP2",-0.021406185733087
"ZNF317",-0.0213358131665529
"SPINK4",-0.0212558481195333
"SMIM6",-0.0212157437152687
"DUXA",-0.0211983175550356
"ANKRD60",-0.0211168373939893
"CD70",-0.0211168371011509
"LIPH",-0.0210669635804036
"CAB39L",-0.0209562435467817
"ZNF571",-0.0209558705711182
"CFHR3",-0.0209366067569249
"SLC1A7",-0.020921811967921
"FTH1",-0.0208781045422366
"ACTG2",-0.0208337517903053
"ADGRL4",-0.020817163525684
"IRS4",-0.0207815640630831
"MYH8",-0.0205217169658089
"SHOX2",-0.0204894916633315
"IFNB1",-0.0203673745523308
"C8A",-0.0203197200213789
"MMP9",-0.0203197194112109
"ZNF484",-0.0202955744491983
"AMHR2",-0.0201878278675933
"DBH",-0.0201814108453463
"GJB1",-0.0201814108453463
"ZNF26",-0.0199418985847796
"OGN",-0.0199350542446867
"RUNX3",-0.0199049777493007
"CLCA4",-0.0197296837155038
"IBSP",-0.0197174952484671
"SGCA",-0.0195181240732284
"DIO1",-0.0194914265396082
"KLHL6",-0.0194535798503549
"TOR1AIP2",-0.0193200147381331
"CCL20",-0.0193176649756264
"SH2D1A",-0.0191914329457003
