"gene","cope"
"GOLGA8O",NA
"GOT1L1",NA
"GP9",NA
"GPBAR1",NA
"GPIHBP1",NA
"GPR171",NA
"GPR20",NA
"GPR65",NA
"GPRC5D",NA
"GRK7",NA
"GSDMC",NA
"GUCY2C",NA
"GZMA",NA
"HAL",NA
"HBD",NA
"HBM",NA
"HCAR1",NA
"HCAR3",NA
"HDC",NA
"HEPACAM2",NA
"HEYL",NA
"HIGD1B",NA
"HIPK4",NA
"HNF1A",NA
"HOXB3",NA
"HOXC8",NA
"HOXD13",NA
"HPN",NA
"HRCT1",NA
"HSD11B1",NA
"HSPB3",NA
"HSPB7",NA
"HTR1D",NA
"HTR3A",NA
"HTRA4",NA
"ICAM4",NA
"IFIT1B",NA
"IFNE",NA
"IGFL2",NA
"IGFN1",NA
"IL10",NA
"IL15RA",NA
"IL17B",NA
"IL1B",NA
"IL1R1",NA
"IL1R2",NA
"IL1RN",NA
"IL20RA",NA
"IL21R",NA
"IL2RG",NA
"IL5",NA
"IL6",NA
"ILDR1",NA
"IMPG1",NA
"INHBE",NA
"INSC",NA
"INSL3",NA
"INSL5",NA
"INSRR",NA
"IRF4",NA
"ISM2",NA
"ITK",NA
"IYD",NA
"KCNJ1",NA
"KCNK17",NA
"KCNK5",NA
"KCNK7",NA
"KISS1R",NA
"KLF17",NA
"KLHDC7A",NA
"KLHL30",NA
"KLHL33",NA
"KLK7",NA
"KLKB1",NA
"KLRB1",NA
"KLRC4",NA
"KNCN",NA
"KREMEN2",NA
"KRT17",NA
"KRTAP11-1",NA
"LAIR1",NA
"LAIR2",NA
"LCN12",NA
"LGALS12",NA
"LGSN",NA
"LHX3",NA
"LILRA2",NA
"LILRB2",NA
"LILRB4",NA
"LIPC",NA
"LIPF",NA
"LIPH",NA
"LRCOL1",NA
"LRRC18",NA
"LRRC25",NA
"LRRC38",NA
"LRRC71",NA
"LTA",NA
"LTB4R2",NA
"LTF",NA
"LTK",NA
"LY6G6F",NA
"LY75",NA
"LY86",NA
"LY9",NA
"MAFA",NA
"MAGEA10",NA
"MAGEB10",NA
"MAGEB18",NA
"MAGEE2",NA
"MAL",NA
"MAT1A",NA
"MC5R",NA
"MCOLN3",NA
"MEI1",NA
"MEIKIN",NA
"MEOX1",NA
"MEP1B",NA
"MEPE",NA
"METTL7B",NA
"MFAP5",NA
"MGAM2",NA
"MIA2",NA
"MLPH",NA
"MMP19",NA
"MMP21",NA
"MMP25",NA
"MMP26",NA
"MNDA",NA
"MOS",NA
"MPEG1",NA
"MPL",NA
"MRLN",NA
"MROH2A",NA
"MS4A14",NA
"MSC",NA
"MSLN",NA
"MSX2",NA
"MT1G",NA
"MT1M",NA
"MUC15",NA
"MUC17",NA
"MUC5B",NA
"MUC6",NA
"MYBPC2",NA
"MYEOV",NA
"MYLK2",NA
"MYO1A",NA
"MYOG",NA
"MZB1",NA
"NANOS2",NA
"NCR3",NA
"NFATC1",NA
"NFE2",NA
"NHLRC4",NA
"NKX2-2",NA
"NKX6-2",NA
"NLRC4",NA
"NMRK2",NA
"NOD2",NA
"NPR1",NA
"NPVF",NA
"NR0B1",NA
"NR1I3",NA
"NTSR2",NA
"NUP210L",NA
"NUTM1",NA
"NXNL1",NA
"OC90",NA
"OCM2",NA
"OIT3",NA
"OLFM4",NA
"OOSP2",NA
"OPALIN",NA
"OR13A1",NA
"OR13C2",NA
"OR2B6",NA
"OR2J3",NA
"OR2T8",NA
"OR51B5",NA
"OR51B6",NA
"OR52H1",NA
"OR52N2",NA
"OR52N4",NA
"OR9Q1",NA
"OSR1",NA
"OSR2",NA
"OTP",NA
"OTUD6A",NA
"OVOL1",NA
"OVOL3",NA
"OXER1",NA
"OXT",NA
"P2RX1",NA
"P2RY14",NA
"P2RY2",NA
"PABPC3",NA
"PAX3",NA
"PCBD2",NA
"PCDHA8",NA
"PDCD1LG2",NA
"PDZD9",NA
"PF4",NA
"PGPEP1L",NA
"PHGR1",NA
"PHOX2B",NA
"PI3",NA
"PIK3CG",NA
"PITX1",NA
"PKD2L2",NA
"PKDREJ",NA
"PKLR",NA
"PLA2G10",NA
"PLA2G5",NA
"PLEKHF1",NA
"PLN",NA
"PLSCR5",NA
"PON3",NA
"POTEM",NA
"POU4F2",NA
"PPEF2",NA
"PPP1R27",NA
"PPP1R3G",NA
"PRB1",NA
"PRF1",NA
"PRG2",NA
"PRG4",NA
"PRH2",NA
"PROC",NA
"PRODH2",NA
"PROZ",NA
"PRPH2",NA
"PRR23A",NA
"PRR23C",NA
"PRSS16",NA
"PTCRA",NA
"PTGDR2",NA
"PTGER2",NA
"PTGIR",NA
"PTPN7",NA
"PTPRC",NA
"PYGM",NA
"RAD21L1",NA
"RASSF6",NA
"RASSF9",NA
"RAX",NA
"RBM46",NA
"RBP7",NA
"RD3",NA
"REC114",NA
"RFPL4B",NA
"RGPD3",NA
"RGS18",NA
"RIPK3",NA
"RIPK4",NA
"RNF133",NA
"RNF151",NA
"RNF183",NA
"RNF212B",NA
"RNF43",NA
"RTP4",NA
"RUFY4",NA
"RUNX3",NA
"RXFP2",NA
"S100A3",NA
"S100A8",NA
"S100A9",NA
"S100Z",NA
"S1PR5",NA
"SAG",NA
"SAMD7",NA
"SASH3",NA
"SBSN",NA
"SCGB1D4",NA
"SCIMP",NA
"SDR9C7",NA
"SEC16B",NA
"SEL1L2",NA
"SELE",NA
"SELL",NA
"SEMA3G",NA
"SERPINA1",NA
"SFRP5",NA
"SFTA3",NA
"SFTPB",NA
"SH2D1A",NA
"SH3RF2",NA
"SHOX",NA
"SIGLEC8",NA
"SIX1",NA
"SIX2",NA
"SKOR2",NA
"SLAMF6",NA
"SLC10A1",NA
"SLC13A1",NA
"SLC14A2",NA
"SLC17A1",NA
"SLC18A1",NA
"SLC22A31",NA
"SLC22A6",NA
"SLC22A7",NA
"SLC23A1",NA
"SLC25A2",NA
"SLC26A3",NA
"SLC28A2",NA
"SLC34A3",NA
"SLC35D3",NA
"SLC35G3",NA
"SLC38A4",NA
"SLC38A8",NA
"SLC39A2",NA
"SLC52A1",NA
"SLC5A10",NA
"SLC6A3",NA
"SLC9A3",NA
"SLCO1B3",NA
"SLCO6A1",NA
"SMCO1",NA
"SMIM22",NA
"SMIM24",NA
"SMYD1",NA
"SOHLH1",NA
"SOST",NA
"SOWAHB",NA
"SOX10",NA
"SOX18",NA
"SP6",NA
"SP7",NA
"SPANXN2",NA
"SPATA16",NA
"SPATA45",NA
"SPATS1",NA
