"gene","cope"
"NPHS2",-0.0122825887092094
"GLP2R",-0.0122672778661781
"ARMS2",-0.0122324463468148
"GIMAP4",-0.0121634713870878
"FPR2",-0.0121309827372576
"KRT1",-0.0121277005301805
"OR10W1",-0.0120919368554871
"LMOD2",-0.0120580135896256
"IGSF1",-0.0120446161356463
"FRMPD2",-0.0120394794812183
"ZNF676",-0.0120329725644093
"HOXB2",-0.012018991331608
"FGF3",-0.0120156261949245
"CD3D",-0.0119167169011553
"C2orf78",-0.0119167154516881
"SERPINB13",-0.0119167154516881
"IL10",-0.0118781829711998
"HABP2",-0.0117499315103263
"MMP7",-0.0117401683087021
"C17orf78",-0.0115364994288914
"HOXB3",-0.0114098058380953
"ANKRD60",-0.0112745800645336
"ART4",-0.0112745800645336
"ETV3L",-0.0112541032956319
"ZNF716",-0.011226468774046
"PPBP",-0.0111938340936671
"CCL13",-0.0111891865291534
"SELP",-0.0111845392446098
"MYH8",-0.0110595729063302
"CLCA2",-0.0110510478277984
"CABP5",-0.0110331915988283
"DRGX",-0.011004730000402
"SSX3",-0.0109504860920377
"FCGR2B",-0.0109238184488164
"DDX53",-0.0109058802358345
"RPEL1",-0.0108992971883761
"FFAR2",-0.0108694331749277
"DYNAP",-0.0108367939335093
"AMPD1",-0.0108367920490664
"TRIML2",-0.0108329177131155
"LYPD4",-0.0108232811997963
"DCAF4L2",-0.0107402774697981
"FFAR3",-0.0106106079422823
"DYTN",-0.0105910041138026
"F13B",-0.0105345100025198
"OR10Q1",-0.0104322484277912
"OTP",-0.0104257598501374
"DIO1",-0.0104177551353355
"SLC22A11",-0.0103073866143943
"DEFB119",-0.0102779147768294
"CXCR1",-0.0102133021067001
"ZP2",-0.0101116632924163
"IGLL1",-0.0100900062494968
"OR51E1",-0.0100162737520578
"SPATC1",-0.0100162734627269
"ZNF728",-0.00999964531790863
"CPA3",-0.00999964514050603
"HEATR9",-0.00999964437406068
"SPINK4",-0.00999134726172324
"MARCO",-0.00995659644396373
"SMIM6",-0.00988332407337694
"SERPINB10",-0.00985160515656652
"BTG4",-0.00977122721165317
"MAGEC1",-0.00976652866471767
"HAO2",-0.00974331649840075
"ADRA2B",-0.00970629072353477
"CYP2B6",-0.00967408969569481
"ITLN1",-0.00956203255293073
"IBSP",-0.00935771401115027
"NLRP10",-0.00935771401115027
"NT5DC4",-0.0093499490832125
"MMP27",-0.0093499483665645
"AMHR2",-0.00934736182200688
"TREML1",-0.00933213130951242
"PLA2G4F",-0.00933213053251029
"APBB1IP",-0.00914751770295131
"OTC",-0.00912841034134592
"MCEMP1",-0.0091284100259732
"HTR3C",-0.00912840939522785
"MUC15",-0.0091170520361336
"CPN1",-0.00908275403014439
"ELF5",-0.00908275351143339
"PHOSPHO1",-0.00905196280076969
"BOD1L2",-0.00900112918372162
"MC5R",-0.00898398855552727
"CRYBA4",-0.00895297209035174
"PGLYRP1",-0.00894364085652893
"LHX8",-0.00894364031781793
"AGR3",-0.00889358820073177
"PATE1",-0.00889358690807738
"TM4SF5",-0.00884090150788316
"IL22RA2",-0.0088079173930458
"FCRL5",-0.00880791663481244
"CDSN",-0.00874342626548165
"CCDC172",-0.00872168837480899
"CYP4F22",-0.00872168668955607
"ANXA10",-0.00872168614576674
"SPINK9",-0.0086837501362658
"SLC13A2",-0.00865279699075714
"MMP1",-0.0086527959959374
"PLN",-0.00860583727469746
"UGT2A1",-0.00852469941305091
"C3orf84",-0.00851223386276053
"SLC17A3",-0.00832962018745696
"ABRA",-0.00831236454289295
"TNS4",-0.00831236397326886
"RFX6",-0.00827069866284496
"APOBEC3H",-0.00823223451994425
"OR10A4",-0.00823223451994425
"KRT7",-0.00823223411565675
"FASLG",-0.00819532158354964
"RPTN",-0.0081511799855469
"TBC1D21",-0.0081511799855469
"CXCR6",-0.00815117963469798
"OR5AU1",-0.00812363262026418
"FCGR3B",-0.00811534722078438
"GKN2",-0.0079961355174024
"IL31",-0.0079961355174024
"ODF4",-0.00799613479494383
"GPR141",-0.00797488429119422
"AQP9",-0.00792949835281098
"REN",-0.00789562664990208
"CCR3",-0.00789562604472391
"DEFA4",-0.00789562543954589
"IL19",-0.00788908041524965
"TARM1",-0.00788908041524965
"ELSPBP1",-0.00788908005334407
"NLRP5",-0.00779446841998749
"TNFRSF13B",-0.00779199091496214
"LIM2",-0.00779199035381774
"BARX1",-0.00772805208084553
"CX3CR1",-0.00768364872511748
"TCL1A",-0.00766999157333649
"MYL2",-0.00763423807051958
"FOXN1",-0.00751225855441819
"GSTA3",-0.00751225797430952
"TMEM40",-0.00751225739420098
"CYP2C9",-0.00747494713871186
"LRRC15",-0.00744716514003982
"TNFSF11",-0.00744716436817519
"CSN1S1",-0.00742866373810335
"CFHR3",-0.00736876980330587
"IL21",-0.00733825886390625
"DSG1",-0.00733825847612124
"IFNB1",-0.00728804662971845
"KRT6C",-0.00725559319273816
"WFDC6",-0.00725559055629553
"OR11G2",-0.00722267583609162
"PADI1",-0.00722267503426886
"CAMP",-0.00722267443290197
"SERPINB5",-0.00722267443290197
"CEACAM20",-0.00707381114501435
"ELANE",-0.00707381094067971
"VSX2",-0.0070738107363451
"ZG16B",-0.00707381012334135
"PSG9",-0.00707380991900681
"AGXT",-0.00705914890550819
"IFNG",-0.0070591483644438
"TCF21",-0.0070474543957508
"TSHB",-0.0070474543957508
"PADI3",-0.00695176515780374
